# Godzilla Pro device positions, from the game binary.
# 575 records (coil=10 led=506 switch=59), 164 on the playfield image.
# playfield image: assets/nuk/images/Test/scaled_godzilla_pro_playfield.png (313x710)
# class   name                                   x     y    w    h  grp index  conn   image
led       ETOPPER FRONT LED 6-G                247   297   30   30    3   190         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 6-B                247   297   30   30    3   189         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 7-R                247   297   30   30    3   191         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 7-G                282   297   30   30    3   193         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 7-B                282   297   30   30    3   192         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 8-R                282   297   30   30    3   194         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 8-G                317   297   30   30    3   196         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 8-B                317   297   30   30    3   195         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 9-R                317   297   30   30    3   197         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 9-G                352   297   30   30    3   199         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 9-B                352   297   30   30    3   198         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 10-R               352   297   30   30    3   200         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 10-G               387   297   30   30    3   202         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 10-B               387   297   30   30    3   201         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 11-R               387   297   30   30    3   203         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 11-G               422   297   30   30    3   205         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 11-B               422   297   30   30    3   204         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 12-R               422   297   30   30    3   206         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 12-G               457   297   30   30    3   208         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 12-B               457   297   30   30    3   207         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 13-R               457   297   30   30    3   209         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 13-G               492   297   30   30    3   211         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 13-B               492   297   30   30    3   210         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 14-R               492   297   30   30    3   212         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 14-G               526   297   30   30    3   214         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 14-B               526   297   30   30    3   213         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 15-R               526   297   30   30    3   215         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 15-G               561   297   30   30    3   217         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 15-B               561   297   30   30    3   216         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 16-R               561   297   30   30    3   218         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 16-G               596   297   30   30    3   220         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 16-B               596   297   30   30    3   219         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 17-R               596   297   30   30    3   221         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 17-G               631   297   30   30    3   223         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 17-B               631   297   30   30    3   222         System/TestMode/universal_topper_scaled
